iter	Logloss
0	0.6578302132
1	0.6288572412
2	0.604042021
3	0.5838278541
4	0.5664013266
5	0.5502866637
6	0.5356248807
7	0.5225618834
8	0.5104207554
9	0.5012994377
10	0.4928388862
11	0.4840219659
12	0.4769877077
13	0.4699705012
14	0.4623742874
15	0.4565744142
16	0.4508678416
17	0.4443119155
18	0.4391800806
19	0.4353185281
20	0.432732476
21	0.4282595285
22	0.4255501896
23	0.4221081085
24	0.4196033282
25	0.4168016085
26	0.4151720852
27	0.4138266576
28	0.4119994016
29	0.4095477664
30	0.4087117753
31	0.4066715463
32	0.4041863836
33	0.4022531587
34	0.3996341565
35	0.39877088
36	0.3975506598
37	0.3951487835
38	0.3933552619
39	0.3911109
40	0.3895188643
41	0.3878744347
42	0.3858550082
43	0.3840324691
44	0.3823429655
45	0.3807679991
46	0.3787459522
47	0.376914853
48	0.3746589286
49	0.3732720147
50	0.372569351
51	0.3716839289
52	0.3704681529
53	0.3689703106
54	0.3678805222
55	0.3672382889
56	0.3660291071
57	0.3646641008
58	0.3637180081
59	0.3637180028
60	0.3629033021
61	0.3619444065
62	0.3603264515
63	0.3595960851
64	0.3585763571
65	0.3579298812
66	0.357044814
67	0.3558343509
68	0.3549919354
69	0.353928199
70	0.3529849118
71	0.352803167
72	0.3517994331
73	0.350603963
74	0.3498582617
75	0.3481960857
76	0.3471759324
77	0.3460977696
78	0.3454088504
79	0.3448657414
80	0.3441993699
81	0.3441734706
82	0.3435449868
83	0.3427127021
84	0.3420812103
85	0.341356421
86	0.3403971113
87	0.3396685005
88	0.3395056537
89	0.3385117675
90	0.3378423435
91	0.3376448436
92	0.3365042716
93	0.33614719
94	0.3346360501
95	0.3339106781
96	0.3332178755
97	0.3322791468
98	0.3317461803
99	0.3311556045
100	0.3309321785
101	0.3297397349
102	0.3286857964
103	0.3286857854
104	0.3282792169
105	0.3272242796
106	0.326649034
107	0.325536056
108	0.3249830706
109	0.3241928669
